CodMateria|CodCurso|NombreMateria|Titular|Docente|Dias|Horario|Sede
1360|1|Derecho Crediticio, Bursátil e Insolvencia|Favier Dubois, Eduardo|Monti, Néstor|Lu-Jue|07a09|Córdoba
1360|21|Derecho Crediticio, Bursátil e Insolvencia|FScioli, Jorge|Perillo, Fernando|Ma-Vie|19a21|Córdoba
1603|1|Derecho Informático I|López del Carril, Gonzalo|Elias, Miguel|Ma-Vie|07a09|Córdoba
1603|2|Derecho Informático I|López del Carril, Gonzalo|Elias, Miguel|Ma-Vie|17a19|Córdoba
1604|1|Derecho Informático II|López del Carril, Gonzalo|Navarro, Guillermo|Lu-Mie-Jue|09a11|Córdoba
1604|2|Derecho Informático II|López del Carril, Gonzalo|Varennes, Flavio|Lu-Mie-Jue|17a19|Córdoba
250|1|Microeconomía I|Apella, Ignacio|Iacobuzio, Antonio|Lu-Jue|07a09|Avellaneda
250|11|Microeconomía I|Di Pelino, Andrés|Ramirez, Walter|Ma-Vie|07a09|Paternal
262|3|Macroeconomía|Kacef, Osvaldo|Tubio, Eleonora|Lu-Mie-Jue|09a11|Paternal
262|7|Macroeconomía|Kacef, Osvaldo|Bernat, Gonzalo|Ma-Mie-Vie|09a11|San Isidro
278|1|Macroeconomía y Política Económica|Barreña, Mariana|Couto, Luis|Lu-Mie-Jue|09a11|Córdoba
278|9|Macroeconomía y Política Económica|Barreña, Mariana|Farina, Joaquín|Lu-Mie-Jue|21a23|Córdoba
283|1|Macroeconomía II|Fanelli, José|Fanelli, José|Ma-Vie-Sa|17a19|Córdoba
283|5|Macroeconomía II|Heymann, Carlos|Heymann, Carlos|Lu-Mie-Jue|09a11|Córdoba
286|1|Microeconomía II|Rossi, Martín|Aromi, José|Lu-Mie-Jue|11a13|Córdoba
286|2|Microeconomía II|Rossi, Martín|Acosta Jorge|Ma-Vie-Sa|19a21|Córdoba
287|1|Geografía Económica|Depto. de Economía|Abriata, Bruno|Mie|09a11|Córdoba
287|2|Geografía Económica|Liberali, Ana María|Acha, Patricia|Mie|17a19|Córdoba
289|1|Epistemología de la Economía|Weisman, Diego|Ruggeri, César|Ju|09a11|Córdoba
289|2|Epistemología de la Economía|Weisman, Diego|Maceri, Sandra|Mie|11a13|Córdoba
290|1|Microeconomía I|Petrecolla, Diego|Petrecolla, Diego|Lu-Mie-Jue|09a11|Córdoba
290|2|Microeconomía I|Petrecolla, Diego|Pascuini, Paulo|Ma-Vie-Sa|09a11|Córdoba
552|1|Dinero, Crédito y Bancos|Katz, Sebastián|Lorenzo, Guido|Lu-Mie-Jue|07a09|Córdoba
552|2|Dinero, Crédito y Bancos|Katz, Sebastián|Gómez, Juan|Lu-Mie-Jue|09a11|Córdoba
553|1|Historia del Pensamiento Económico|Haberfeld, Leandro|Krause, Martín|Lu-Jue|07a09|Córdoba
553|2|Historia del Pensamiento Económico|Haberfeld, Leandro|Sember, Florencia|Lu-Jue|09a11|Córdoba
554|1|Crecimiento Económico|Keifman, Saul|Keifman, Saul|Lu-Mie-Jue|09a11|Córdoba
554|2|Crecimiento Económico|Keifman, Saul|Trupkin, Danilo|Lu-Mie-Jue|17a19|Córdoba
555|1|Organización Industrial|Maceira, Daniel|Arza, Valeria|Lu-Jue|09a11|Córdoba
555|3|Organización Industrial|Navajas, Fernando|Kulesz, Micaela|Lu-Jue|09a11|Córdoba
556|1|Finanzas Públicas|Cetrangolo, Oscar|Rotsztein, Ricardo|Lu-Jue|09a11|Córdoba
556|2|Finanzas Públicas|Cetrangolo, Oscar|Costa, Augusto|Lu-Jue|09a11|Córdoba
557|1|Estructura Social Argentina|Depto. de Economía|Vazquez, Juan|Mie|09a11|Córdoba
557|2|Estructura Social Argentina|Depto. de Economía|Fernandez, Ana|Vie|11a13|Córdoba
558|1|Economía Internacional|Depto. de Economía|Molinari, Andrea|Lu-Jue|09a11|Córdoba
558|3|Economía Internacional|Depto. de Economía|Soltz, Hernan|Lu-Jue|19a21|Córdoba
559|1|Desarrollo Económico|López, Andrés|Ronconi, Lucas|Lu-Jue|09a11|Córdoba
559|2|Desarrollo Económico|López, Andrés|Alzua, María|Lu-Jue|11a13|Córdoba
560|1|Estructura Económica Argentina|Ramos, Adrían|Kulfas, Matías|Lu|09a11|Córdoba
560|2|Estructura Económica Argentina|Ramos, Adrían|Bisang, Roberto|Lu|17a19|Córdoba
561|1|Cuentas Nacionales|Depto. de Economía|Cavallari, Silvana|Lu-Mie-Jue|09a11|Córdoba
561|3|Cuentas Nacionales|Propatto, Juan Carlos|Perez, Guadalupe|Lu-Mie-Jue|09a11|Córdoba
562|1|Seminario de Integración y Aplicación|Director de Carrera|Ruggeri, César|Jue|07a09|Córdoba
562|2|Seminario de Integración y Aplicación|Director de Carrera|Fernandez, Ana|Jue|09a11|Córdoba
249|1|Historia Económica y Social Argentina|Belini, Claudio|Colombo, Edgardo|Lu-Jue|19a21|Paternal
249|2|Historia Económica y Social Argentina|Belini, Claudio|Belini, Claudio|Ma-Vie|09a11|Paternal
261|1|Teoría Política y Derecho Público|Estevez, Alejandro|Lozada, Pablo|Lu-Jue|19a21|Avellaneda
261|2|Teoría Política y Derecho Público|Estevez, Alejandro|Campos, Maximiliano|Ma-Vie|09a11|Paternal
452|1|Sociología de la Organización|Fassio, Adriana|Alvarez, Fernando|Ma-Vie|19a21|Córdoba
452|2|Sociología de la Organización|Fassio, Adriana|Wagener, Marina|Ma-Vie|21a23|Córdoba
651|1|Lógica|Legris, Javier|Spehrs, Adriana|Ma-Vie|09a11|Córdoba
651|2|Lógica|Legris, Javier|Legris, Javier|Ma-Vie|13a15|Córdoba
248|1|Estadística|Bianco, María José|Llamas, Juana|Lu-Mie-Jue|07a09|Córdoba
248|2|Estadística|Bianco, María José|Nogues, César Ramón|Lu-Mie-Jue|09a11|Córdoba
276|1|Cálculo Financiero|Melinsky, Eduardo|Mas, Ariel|Ma-Vie|07a09|Córdoba
276|2|Cálculo Financiero|Melinsky, Eduardo|Sciaccaluga, Cristian|Ma-Vie|09a11|Córdoba
284|1|Análisis Matemático II|Bianco, María José|Parma, Andrea|Lu-Mie-Jue|07a09|Córdoba
284|2|Análisis Matemático II|Bianco, María José|Fernandez, Maria Jose|Lu-Mie-Jue|09a11|Córdoba
285|1|Estadística II|Vitale, Blanca|Cordoba, Miguel|Lu-Mie-Jue|07a09|Córdoba
285|2|Estadística II|Vitale, Blanca|Vietri, Silvia|Lu-Mie-Jue|09a11|Córdoba
288|1|Matemática para Economistas|Casparri, María Teresa|Casparri, María Teresa|Lu-Mie-Jue|09a11|Córdoba
288|2|Matemática para Economistas|Garcia Fronti, Javier|Garcia Fronti, Javier|Lu-Mie-Jue|07a09|Córdoba
451|1|Estadística para Administradores|Vitale, Blanca|Girimonte, Patricia|Lu-Jue|07a09|Córdoba
451|2|Estadística para Administradores|Vitale, Blanca|Cantoni Rabolini, Nelida|Ma-Vie|13a15|Córdoba
551|1|Econometría|Brufman, Juana|Brufman, Juana|Lu-Mie-Jue|09a11|Córdoba
551|2|Econometría|Gonzalez, Mirta|Gonzalez, Mirta|Lu-Mie-Jue|07a09|Córdoba
751|1|Estadística Actuarial|Landro, Alberto|Landro, Alberto|Lu-Mie-Jue|07a09|Córdoba
